date,areaType,areaCode,areaName,Lockdown?,Annotation,newCasesBySpecimenDateRollingRate
03/01/2020,overview,K02000001,United Kingdom,,,0
04/01/2020,overview,K02000001,United Kingdom,,,0
05/01/2020,overview,K02000001,United Kingdom,,,0
06/01/2020,overview,K02000001,United Kingdom,,,0
07/01/2020,overview,K02000001,United Kingdom,,,0
08/01/2020,overview,K02000001,United Kingdom,,,0
09/01/2020,overview,K02000001,United Kingdom,,,0
10/01/2020,overview,K02000001,United Kingdom,,,0
11/01/2020,overview,K02000001,United Kingdom,,,0
12/01/2020,overview,K02000001,United Kingdom,,,0
13/01/2020,overview,K02000001,United Kingdom,,,0
14/01/2020,overview,K02000001,United Kingdom,,,0
15/01/2020,overview,K02000001,United Kingdom,,,0
16/01/2020,overview,K02000001,United Kingdom,,,0
17/01/2020,overview,K02000001,United Kingdom,,,0
18/01/2020,overview,K02000001,United Kingdom,,,0
19/01/2020,overview,K02000001,United Kingdom,,,0
20/01/2020,overview,K02000001,United Kingdom,,,0
21/01/2020,overview,K02000001,United Kingdom,,,0
22/01/2020,overview,K02000001,United Kingdom,,,0
23/01/2020,overview,K02000001,United Kingdom,,,0
24/01/2020,overview,K02000001,United Kingdom,,,0
25/01/2020,overview,K02000001,United Kingdom,,,0
26/01/2020,overview,K02000001,United Kingdom,,,0
27/01/2020,overview,K02000001,United Kingdom,,,0
28/01/2020,overview,K02000001,United Kingdom,,,0
29/01/2020,overview,K02000001,United Kingdom,,,0
30/01/2020,overview,K02000001,United Kingdom,,,0
31/01/2020,overview,K02000001,United Kingdom,,,0
01/02/2020,overview,K02000001,United Kingdom,,,0
02/02/2020,overview,K02000001,United Kingdom,,,0
03/02/2020,overview,K02000001,United Kingdom,,,0
04/02/2020,overview,K02000001,United Kingdom,,,0
05/02/2020,overview,K02000001,United Kingdom,,,0
06/02/2020,overview,K02000001,United Kingdom,,,0
07/02/2020,overview,K02000001,United Kingdom,,,0
08/02/2020,overview,K02000001,United Kingdom,,,0
09/02/2020,overview,K02000001,United Kingdom,,,0
10/02/2020,overview,K02000001,United Kingdom,,,0
11/02/2020,overview,K02000001,United Kingdom,,,0
12/02/2020,overview,K02000001,United Kingdom,,,0
13/02/2020,overview,K02000001,United Kingdom,,,0
14/02/2020,overview,K02000001,United Kingdom,,,0
15/02/2020,overview,K02000001,United Kingdom,,,0
16/02/2020,overview,K02000001,United Kingdom,,,0
17/02/2020,overview,K02000001,United Kingdom,,,0
18/02/2020,overview,K02000001,United Kingdom,,,0
19/02/2020,overview,K02000001,United Kingdom,,,0
20/02/2020,overview,K02000001,United Kingdom,,,0
21/02/2020,overview,K02000001,United Kingdom,,,0
22/02/2020,overview,K02000001,United Kingdom,,,0
23/02/2020,overview,K02000001,United Kingdom,,,0
24/02/2020,overview,K02000001,United Kingdom,,,0
25/02/2020,overview,K02000001,United Kingdom,,,0
26/02/2020,overview,K02000001,United Kingdom,,,0
27/02/2020,overview,K02000001,United Kingdom,,,0
28/02/2020,overview,K02000001,United Kingdom,,,0
29/02/2020,overview,K02000001,United Kingdom,,,0.1
01/03/2020,overview,K02000001,United Kingdom,,,0.1
02/03/2020,overview,K02000001,United Kingdom,,,0.1
03/03/2020,overview,K02000001,United Kingdom,,,0.2
04/03/2020,overview,K02000001,United Kingdom,,,0.3
05/03/2020,overview,K02000001,United Kingdom,,,0.4
06/03/2020,overview,K02000001,United Kingdom,,,0.5
07/03/2020,overview,K02000001,United Kingdom,,,0.6
08/03/2020,overview,K02000001,United Kingdom,,,0.6
09/03/2020,overview,K02000001,United Kingdom,,,0.8
10/03/2020,overview,K02000001,United Kingdom,,,1.1
11/03/2020,overview,K02000001,United Kingdom,,,1.6
12/03/2020,overview,K02000001,United Kingdom,,,2.3
13/03/2020,overview,K02000001,United Kingdom,,,2.8
14/03/2020,overview,K02000001,United Kingdom,,,3.3
15/03/2020,overview,K02000001,United Kingdom,,,3.9
16/03/2020,overview,K02000001,United Kingdom,,,4.6
17/03/2020,overview,K02000001,United Kingdom,,,5.3
18/03/2020,overview,K02000001,United Kingdom,,,6.2
19/03/2020,overview,K02000001,United Kingdom,,,7.1
20/03/2020,overview,K02000001,United Kingdom,,,8.2
21/03/2020,overview,K02000001,United Kingdom,,,9.5
22/03/2020,overview,K02000001,United Kingdom,,,10.9
23/03/2020,overview,K02000001,United Kingdom,Lockdown,,13.4
24/03/2020,overview,K02000001,United Kingdom,Lockdown,,15.8
25/03/2020,overview,K02000001,United Kingdom,Lockdown,,18.4
26/03/2020,overview,K02000001,United Kingdom,Lockdown,,21.4
27/03/2020,overview,K02000001,United Kingdom,Lockdown,,24.3
28/03/2020,overview,K02000001,United Kingdom,Lockdown,,26.8
